,participant,list,trial_order_participant,counterbalance,pair_order_id,prime_word_id,target_word_id,target_condition,prime,target,flag_40,all_prime_target_flags,bin_num,16,17,20,21,24,25,28,29,30
17,18,3,13,1,1113,26,1126,RVF-ASS-STRONG,STEEP,HILL,no,"['0', '0', '0', '0', '0', '0']",2,12.34,12.89,16.2,10.23,8.53,9.88,8.1,7.86,5.4
18,19,3,13,1,1113,26,1126,RVF-ASS-STRONG,STEEP,HILL,no,"['0', '0', '0', '0', '0', '0']",2,17.39,10.13,8.6,16.93,13.41,13.12,18.75,17.85,16.66
19,20,1,30,1,30,59,1159,RVF-ASS-STRONG,VASE,FLOWER,no,"['0', '0', '0', '0', '0', '0']",2,20.33,14.29,19.11,20.06,13.38,15.64,8.88,17.82,15.22
20,21,4,42,1,1692,84,1184,RVF-ASS-STRONG,SIGHT,SEE,no,"['0', '0', '0', '0', '0', '0']",2,28.78,26.25,31.69,24.25,21.26,17.68,20.74,20.91,12.64
21,22,4,42,1,1692,84,1184,RVF-ASS-STRONG,SIGHT,SEE,no,"['0', '0', '0', '0', '0', '0']",2,13.56,11.47,20.55,12.03,7.7,12.97,10.95,10.87,17.59
22,23,1,30,1,30,59,1159,RVF-ASS-STRONG,VASE,FLOWER,no,"['0', '0', '0', '0', '0', '0']",2,8.55,2.55,0.62,0.5,12.14,5.86,5.04,3.69,0.23
23,24,4,42,1,1692,84,1184,RVF-ASS-STRONG,SIGHT,SEE,no,"['0', '0', '0', '0', '0', '0']",2,0,0,0,0,0,0,0,0,0
0,1,1,65,1,65,129,1229,RVF-ASS-STRONG,THEFT,STEAL,no,"['0', '0', '0', '0', '0', '0']",3,19.13,15.82,15.68,18.19,13.91,16.53,14.3,16.43,12.9
1,2,3,18,1,1118,36,1136,RVF-ASS-STRONG,TELLER,BANK,no,"['0', '0', '0', '0', '0', '0']",3,15.57,12.2,11.42,4.86,11.12,13.1,13.78,13.94,7.89
2,3,1,100,1,100,199,1299,RVF-ASS-STRONG,PILLOW,SLEEP,no,"['0', '0', '0', '0', '0', '0']",3,1.06,-4.26,-1.65,1.56,2.3,0.31,4.31,3.23,4.67
3,4,2,38,1,588,75,1175,RVF-ASS-STRONG,CHOIR,SING,no,"['0', '0', '0', '0', '0', '0']",3,0,0,0,0,0,0,0,0,0
4,5,2,38,1,588,75,1175,RVF-ASS-STRONG,CHOIR,SING,no,"['0', '0', '0', '0', '0', '0']",3,0,0,0,0,0,0,0,0,0
5,6,4,45,1,1695,90,1190,RVF-ASS-STRONG,ANATOMY,BODY,no,"['0', '0', '0', '0', '0', '0']",3,0,0,0,0,0,0,0,0,0
6,7,3,54,1,1154,108,1208,RVF-ASS-STRONG,BOILED,EGGS,no,"['0', '0', '0', '0', '0', '0']",3,0,0,0,0,0,0,0,0,0
7,8,4,45,1,1695,90,1190,RVF-ASS-STRONG,ANATOMY,BODY,no,"['0', '0', '0', '0', '0', '0']",3,0,0,0,0,0,0,0,0,0
8,9,3,18,1,1118,36,1136,RVF-ASS-STRONG,TELLER,BANK,no,"['0', '0', '0', '0', '0', '0', '0']",3,26.49,25.9,20.21,24.28,15.99,21.44,18.55,20.52,7.52
9,10,2,38,1,588,75,1175,RVF-ASS-STRONG,CHOIR,SING,no,"['0', '0', '0', '0', '0', '0']",3,-5.39,-3.38,-9.62,-2.99,-3,-0.81,-0.02,1.72,3.52
10,11,2,38,1,588,75,1175,RVF-ASS-STRONG,CHOIR,SING,no,"['0', '0', '0', '0', '0', '0']",3,24.5,29.38,31.18,19.73,11.57,22.34,10.41,12.64,6.11
11,12,3,18,1,1118,36,1136,RVF-ASS-STRONG,TELLER,BANK,no,"['0', '0', '0', '0', '0', '0']",3,19.18,14.15,20.15,17.51,18.58,16.6,14.53,16.34,12.71
12,13,2,38,1,588,75,1175,RVF-ASS-STRONG,CHOIR,SING,no,"['0', '0', '0', '0', '0', '0']",3,0,0,0,0,0,0,0,0,0
13,14,1,65,1,65,129,1229,RVF-ASS-STRONG,THEFT,STEAL,no,"['0', '0', '0', '0', '0', '0']",3,19.4,14.01,19.85,11.99,10.41,7.59,3.08,7.13,-2.86
14,15,1,65,1,65,129,1229,RVF-ASS-STRONG,THEFT,STEAL,no,"['0', '0', '0', '0', '0', '0']",3,4.45,4.93,6.36,8.57,4.3,11.03,7.96,11.53,9.71
15,16,2,38,1,588,75,1175,RVF-ASS-STRONG,CHOIR,SING,no,"['0', '0', '0', '0', '0', '0']",3,16.38,16.12,12.76,20.41,21.41,26.41,22.5,22.28,7.89
16,17,2,38,1,588,75,1175,RVF-ASS-STRONG,CHOIR,SING,no,"['0', '0', '0', '0', '0', '0']",3,10.89,10.01,9.71,12.42,9.9,10.09,7.6,9.51,5.64
17,18,3,18,1,1118,36,1136,RVF-ASS-STRONG,TELLER,BANK,no,"['0', '0', '0', '0', '0', '0']",3,0,0,0,0,0,0,0,0,0
18,19,3,18,1,1118,36,1136,RVF-ASS-STRONG,TELLER,BANK,no,"['0', '0', '0', '0', '0', '0']",3,15.1,6.97,15.18,14.95,13.52,6.44,14.45,11.11,12.76
19,20,1,65,1,65,129,1229,RVF-ASS-STRONG,THEFT,STEAL,no,"['0', '0', '0', '0', '0', '0']",3,5.14,7.67,2.54,4.5,7.51,11.83,6.77,8.03,4.92
20,21,4,45,1,1695,90,1190,RVF-ASS-STRONG,ANATOMY,BODY,no,"['0', '0', '0', '0', '0', '0']",3,0.01,-1.26,1.56,3.97,1.13,-1.5,-1.65,-2.01,-1
21,22,4,45,1,1695,90,1190,RVF-ASS-STRONG,ANATOMY,BODY,no,"['0', '0', '0', '0', '0', '0']",3,15.25,22.39,24.73,15.78,8.51,25.15,7.76,16.68,3.51
22,23,1,65,1,65,129,1229,RVF-ASS-STRONG,THEFT,STEAL,no,"['0', '0', '0', '0', '0', '0']",3,21.46,22.47,34.76,22.99,15.47,15.14,17.53,16.88,13.31
23,24,4,45,1,1695,90,1190,RVF-ASS-STRONG,ANATOMY,BODY,no,"['0', '0', '0', '0', '0', '0']",3,-1.82,-0.44,-0.46,1.3,3.01,3.44,5.31,6.12,8.32
0,1,1,100,1,100,199,1299,RVF-ASS-STRONG,PILLOW,SLEEP,no,"['0', '0', '0', '0', '0', '0']",4,1.37,-7.08,1.03,-1.05,-0.23,-5.14,-3.6,-4.31,-3.43
1,2,3,40,1,1140,80,1180,RVF-ASS-STRONG,PRODUCER,MOVIE,no,"['0', '0', '0', '0', '0', '0']",4,11.93,10.12,12.07,10.06,9.31,11.77,10.11,9.75,0.53
2,3,1,113,2,113,225,1325,RVF-ASS-STRONG,HOOK,FISH,no,"['0', '0', '0', '0', '0', '0']",4,-16.82,-20.62,-24.6,-8.93,-10.91,-6.89,-0.23,2.4,10.4
3,4,2,62,1,612,123,1223,RVF-ASS-STRONG,SHADOW,DARK,no,"['0', '0', '0', '0', '0', '0']",4,10.56,9.71,12.43,3.1,5.29,3.08,0.13,-2.67,-1.95
4,5,2,62,1,612,123,1223,RVF-ASS-STRONG,SHADOW,DARK,no,"['0', '0', '0', '0', '0', '0']",4,-1.26,-2.6,-2.7,-4.99,-0.94,-2.4,-3.74,-6.2,-0.56
5,6,4,69,1,1719,138,1238,RVF-ASS-STRONG,CAPTAIN,SHIP,no,"['0', '0', '0', '0', '0', '0']",4,0,0,0,0,0,0,0,0,0
6,7,3,58,1,1158,116,1216,RVF-ASS-STRONG,POISON,DEATH,no,"['0', '0', '0', '0', '0', '0']",4,8.24,10.05,11.16,10.8,6.96,7.76,8.06,10.2,8.4
7,8,4,69,1,1719,138,1238,RVF-ASS-STRONG,CAPTAIN,SHIP,no,"['0', '0', '0', '0', '0', '0']",4,27.62,29.55,26.33,27.15,24.38,23.06,26.48,30.86,23.52
8,9,3,40,1,1140,80,1180,RVF-ASS-STRONG,PRODUCER,MOVIE,no,"['0', '0', '0', '0', '0', '0', '0']",4,0,0,0,0,0,0,0,0,0
