,participant,list,trial_order_participant,counterbalance,pair_order_id,prime_word_id,target_word_id,target_condition,prime,target,flag_40,all_prime_target_flags,bin_num,16,17,20,21,24,25,28,29,30
2,3,1,65,1,65,94,378,RVF-ASS-STRONG,BUTCHER,MEAT,no,"['0', '0', '0', '0', '0', '0']",5,-5.17,-7.66,-6.4,-4.56,-2.88,-9.18,-2.99,-5.59,-2.11
3,4,2,52,1,382,455,514,RVF-ASS-STRONG,POLISH,SHINE,no,"['0', '0', '0', '0', '0', '0']",5,0,0,0,0,0,0,0,0,0
4,5,1,65,1,65,94,378,RVF-ASS-STRONG,BUTCHER,MEAT,no,"['0', '0', '0', '0', '0', '0']",5,13.13,16.53,19.04,12.51,9.49,13.73,7.25,9.55,8.48
5,6,2,52,1,382,455,514,RVF-ASS-STRONG,POLISH,SHINE,no,"['0', '0', '0', '0', '0', '0']",5,40.43,36.81,44.68,43.75,37.14,31.67,39.14,36.76,28.98
6,7,1,65,1,65,94,378,RVF-ASS-STRONG,BUTCHER,MEAT,no,"['0', '0', '0', '0', '0', '0']",5,0,0,0,0,0,0,0,0,0
7,8,2,52,1,382,455,514,RVF-ASS-STRONG,POLISH,SHINE,no,"['0', '0', '0', '0', '0', '0']",5,8.7,11.76,12.98,14.15,6.5,10.37,11.19,12.38,6.69
8,9,1,65,1,65,94,378,RVF-ASS-STRONG,BUTCHER,MEAT,no,"['0', '0', '0', '0', '0', '0']",5,29.86,24.49,29.09,26.96,29.51,19.25,25.12,20.43,15
9,10,2,52,1,382,455,514,RVF-ASS-STRONG,POLISH,SHINE,no,"['0', '0', '0', '0', '0', '0']",5,1.96,1.75,3.08,2.78,3.04,0.76,1.69,1.97,0.47
10,11,1,65,1,65,94,378,RVF-ASS-STRONG,BUTCHER,MEAT,no,"['0', '0', '0', '0', '0', '0']",5,5.79,8.21,6.44,14.66,11.85,11.93,18.31,17.28,14.63
11,12,3,53,1,713,577,35,RVF-ASS-STRONG,TELLER,BANK,no,"['0', '0', '0', '0', '0', '0']",5,13.76,20.22,15.02,21.91,12.29,17.1,17.44,21.18,10.3
12,13,4,70,1,1060,472,337,RVF-ASS-STRONG,RABBI,JEWISH,no,"['0', '0', '0', '0', '0', '0']",5,13.46,14.13,16.63,9.98,11.41,10.53,6.4,8.43,7.11
13,14,3,53,1,713,577,35,RVF-ASS-STRONG,TELLER,BANK,no,"['0', '0', '0', '0', '0', '0']",5,16.52,19.29,13.49,16.87,15.34,25,19.49,21.46,15.3
14,15,4,70,1,1060,472,337,RVF-ASS-STRONG,RABBI,JEWISH,no,"['0', '0', '0', '0', '0', '0']",5,0,0,0,0,0,0,0,0,0
15,16,4,70,1,1060,472,337,RVF-ASS-STRONG,RABBI,JEWISH,no,"['0', '0', '0', '0', '0', '0', '0']",5,14.08,13.43,13.82,8.65,9.34,10.87,2.77,-1.1,1.97
16,17,3,53,1,713,577,35,RVF-ASS-STRONG,TELLER,BANK,no,"['0', '0', '0', '0', '0', '0']",5,-4.47,-0.38,-2.35,1.37,-0.57,3.22,6.82,7.11,6.78
17,18,4,70,1,1060,472,337,RVF-ASS-STRONG,RABBI,JEWISH,no,"['0', '0', '0', '0', '0', '0', '0']",5,10.57,11.71,13.9,17.5,15.63,19.88,22.72,21.86,21.12
18,19,3,53,1,713,577,35,RVF-ASS-STRONG,TELLER,BANK,no,"['0', '0', '0', '0', '0', '0']",5,-1.81,-1.36,-0.08,1.37,-4.88,0.61,-4.71,-1.37,-3
19,20,4,70,1,1060,472,337,RVF-ASS-STRONG,RABBI,JEWISH,no,"['0', '0', '0', '0', '0', '0']",5,0,0,0,0,0,0,0,0,0
20,21,4,70,1,1060,472,337,RVF-ASS-STRONG,RABBI,JEWISH,no,"['0', '0', '0', '0', '0', '0']",5,16.73,19.17,19,21.11,16.72,23.08,23.5,24.63,26.45
21,22,2,52,1,382,455,514,RVF-ASS-STRONG,POLISH,SHINE,no,"['0', '0', '0', '0', '0', '0']",5,-4.33,-3.81,-3.15,-9.93,-3.33,-5.02,-9.52,-8.98,-14.84
22,23,3,53,1,713,577,35,RVF-ASS-STRONG,TELLER,BANK,no,"['0', '0', '0', '0', '0', '0']",5,4.83,5.99,3.18,8.67,7.67,8.72,7.99,6.95,3.95
23,24,4,70,1,1060,472,337,RVF-ASS-STRONG,RABBI,JEWISH,no,"['0', '0', '0', '0', '0', '0']",5,18.69,14.91,17.14,20.21,13.84,13.7,14.75,15.24,3.42
0,1,2,63,1,393,627,253,RVF-ASS-STRONG,VASE,FLOWER,no,"['0', '0', '0', '0', '0', '0']",6,12.81,14.56,10.19,15.66,12.61,15.72,14.65,14.22,3.59
1,2,1,81,1,81,510,178,RVF-ASS-STRONG,SHADOW,DARK,no,"['0', '0', '0', '0', '0', '0']",6,2.16,9.72,4.29,7.85,3.28,5.32,4.19,6.23,3.44
